"colors","names"
"#F2CFBB","Blissed out"
"#FFFFFF","Optic white"
"#E7D9CA","Rose quartz"
"#E586A1","Marsala"
"#FED7CA","Picnic peach"
"#A4A1C0","Cyber"
"#9CD1E4","High Tide"
"#AEC1C8","Pebble"
"#DBE3DD","Crystal Quartz"
"#91A188","Party Trick"
"#A05D92","Velvet Orchid"
"#D30128","Perfect Red"
"#E0D2D1","Barely There"
"#D9BEA3","Fools Gold"
"#0068D1","Indigo-go"
"#4C1A1B","Dark Horse"
"#F5014B","New Wave"
"#BCB895","Sage Anything"
"#E2AD4D","Haystack"
"#EA65CC","Electric Petals"
"#FFAB6D","Blazin"
"#C5B4B9","It's My Party"
"#B1D3D5","Blue Skies Ahead"
"#B5C3E6","April Showers"
"#C4C47E","Malibu"
"#C8ED6C","Cabana Fever"
"#ABEDB0","Matcha Maker"
"#C9B4B0","Silverlake"
"#3046AC","Dashing"
"#BC504E","Saucy"
"#B70129","Siren"
"#FFACCD","Sun Bunny"
"#9384A5","Night Moves"
"#29484A","Envy"
"#434751","Charcoal"
