"colors","names","r","g","b"
"#908680","Louise",144,134,128
"#8E837C","Emilia",142,131,124
"#96908D","Kateri",150,144,141
"#8F7C7C","Sam",143,124,124
"#928683","Nina",146,134,131
"#948386","Debbie",148,131,134
"#A08887","Sasha",160,136,135
"#998E8F","Rihana",153,142,143
"#908B89","Kalista",144,139,137
"#938B8B","Sloane",147,139,139
"#928087","Stacy",146,128,135
"#8D8188","Norra",141,129,136
"#8E858C","Anja",142,133,140
"#958A93","Monica",149,138,147
"#997D8A","Toni",153,125,138
"#AC8796","Veronica",172,135,150
"#A8868F","Mona",168,134,143
"#B1979E","Faye",177,151,158
"#B08F98","Coco",176,143,152
"#BC979D","Kate",188,151,157
"#BD99A2","Aubrey",189,153,162
"#AE6E7F","Mai",174,110,127
"#AC8D95","Marnie",172,141,149
"#A38389","Claire",163,131,137
"#C8A9B7","Joni",200,169,183
"#C6A6B1","Odette",198,166,177
"#BBA4B0","Charity",187,164,176
"#CF9BB0","Paige",207,155,176
"#D9A8B5","Hera",217,168,181
"#DFC6CE","Presley",223,198,206
"#D1C2C4","Eastyn",209,194,196
"#D8C2C6","Mauve Perfector",216,194,198
"#C3BBB6","Pasha",195,187,182
"#BFB4B0","Rowan",191,180,176
"#C3B8BE","Jana",195,184,190
"#D2CED4","Carey",210,206,212
"#D4D4D3","Dove",212,212,211
"#B6BABC","Tove",182,186,188
"#D3D1CE","Harley",211,209,206
"#DDD9D3","Cosmo - Magical PixieDust - Textured",221,217,211
"#A29FA3","Jett",162,159,163
"#CAC8CC","Tilly - PixieDust - Textured",202,200,204
"#B2B3B8","Theo",178,179,184
"#B5B4C1","Devin",181,180,193
"#B7BAB8","Cassedy",183,186,184
"#BDBBB8","London - PixieDust - Textured",189,187,184
"#B5B5B8","Tao",181,181,184
"#73727E","Tieran",115,114,126
"#707077","Ashton",112,112,119
"#97969B","Genevieve",151,150,155
"#A29F9F","Troy",162,159,159
"#989795","Dahlia - PixieDust - Textured",152,151,149
"#939C9B","Yuna",147,156,155
"#909595","Tris",144,149,149
"#878A91","Hadley",135,138,145
"#888891","Sailor",136,136,145
"#817E8E","Ryan",129,126,142
